a,b,c
28,43,1
26,30,1
21,24,1
41,49,1
25,18,1
5,15,1
15,14,1
33,21,1
2,43,0
18,15,1
44,43,1
43,14,1
21,28,0
48,42,1
28,46,1
50,13,1
26,22,1
36,25,1
29,2,1
6,5,1
28,33,1
38,13,1
50,26,1
20,33,0
29,50,1
14,19,1
13,11,1
1,43,0
6,19,1
40,35,1
37,4,1
7,26,0
10,29,0
0,39,0
8,1,1
26,15,1
25,23,1
8,50,0
42,32,1
19,49,0
10,31,0
38,9,1
16,25,1
42,12,1
32,39,1
5,6,1
45,37,1
4,16,1
8,15,1
17,25,1
30,45,1
37,50,1
48,49,1
16,21,1
16,25,1
36,44,1
14,38,0
11,34,0
8,38,0
13,44,0
21,29,0
12,44,0
47,9,1
22,44,0
22,4,1
26,28,1
35,40,1
28,10,1
25,17,1
13,4,1
16,40,0
19,23,1
45,8,1
23,37,0
30,41,1
7,38,0
36,40,1
38,29,1
22,16,1
27,1,1
6,6,1
36,18,1
37,33,1
34,26,1
15,29,0
0,12,1
19,22,1
5,7,1
26,21,1
50,4,1
3,5,1
49,32,1
38,27,1
47,24,1
24,30,0
12,31,0
7,42,0
22,26,0
1,24,1
45,44,1
37,10,1
48,35,1
44,26,1
24,28,0
7,10,1
9,6,1
1,21,1
30,44,1
1,42,0
48,50,1
4,40,0
32,50,1
16,13,1
3,24,1
23,19,1
49,28,1
30,25,1
0,24,1
34,20,1
33,30,1
3,31,0
30,44,1
47,44,1
39,26,1
9,16,1
10,36,0
2,19,1
27,48,1
25,24,1
16,18,1
12,13,1
33,49,1
44,46,1
19,41,0
24,26,0
18,21,1
20,45,0
23,14,1
23,14,1
15,27,0
29,24,1
7,28,0
37,33,1
40,20,1
21,3,1
21,34,0
49,12,1
9,26,0
25,6,1
44,17,1
40,26,1
30,9,1
6,28,0
28,8,1
40,4,1
19,43,0
8,21,1
14,22,1
29,21,1
24,12,1
4,23,1
11,3,1
42,36,1
32,2,1
9,13,1
2,26,0
32,4,1
2,1,1
17,10,1
4,33,0
44,37,1
26,38,1
47,40,1
4,44,0
13,18,1
3,42,0
25,34,1
17,44,0
44,42,1
8,33,0
5,21,1
12,32,0
35,10,1
37,19,1
50,40,1
36,19,1
19,14,1
8,20,1
17,40,0
1,7,1
12,48,0
37,17,1
11,3,1
34,29,1
34,0,1
47,14,1
12,32,0
20,23,1
34,18,1
46,35,1
4,46,0
25,5,1
12,31,0
31,3,1
7,36,0
26,40,1
28,10,1
2,10,1
27,20,1
39,31,1
25,14,1
32,37,1
16,38,0
31,12,1
22,4,1
7,33,0
42,13,1
20,4,1
41,18,1
36,46,1
8,26,0
29,30,1
25,19,1
17,49,0
2,21,1
40,36,1
37,31,1
36,39,1
28,16,1
5,2,1
8,31,0
8,19,1
10,42,0
49,46,1
42,35,1
24,48,0
30,14,1
30,43,1
22,15,1
45,7,1
45,19,1
18,46,0
20,25,1
9,23,1
28,35,1
31,30,1
6,36,0
31,20,1
49,34,1
20,41,0
45,19,1
48,47,1
16,42,0
17,47,0
42,46,1
46,47,1
11,13,1
35,33,1
19,19,1
32,38,1
26,30,1
38,8,1
46,30,1
47,48,1
34,46,1
44,40,1
24,36,0
31,4,1
41,8,1
17,47,0
39,21,1
30,8,1
6,8,1
18,9,1
30,2,1
42,22,1
12,24,1
25,34,1
24,17,1
1,5,1
17,50,0
14,21,1
32,2,1
38,11,1
12,41,0
3,47,0
4,37,0
20,14,1
20,39,0
2,47,0
48,28,1
43,31,1
1,24,1
20,15,1
41,22,1
8,40,0
8,26,0
3,0,1
42,29,1
34,5,1
47,7,1
7,13,1
25,8,1
40,13,1
29,26,1
11,48,0
21,25,1
18,23,1
44,8,1
21,49,0
13,24,1
26,39,1
30,47,1
2,40,0
10,23,1
27,38,1
15,11,1
42,1,1
2,45,0
48,2,1
33,27,1
24,10,1
17,23,1
49,41,1
40,4,1
13,2,1
20,25,1
47,42,1
14,11,1
35,28,1
12,12,1
36,12,1
1,46,0
20,7,1
47,43,1
11,49,0
30,29,1
34,35,1
10,15,1
19,47,0
7,25,1
16,34,0
36,18,1
4,41,0
23,1,1
2,28,0
24,16,1
26,36,1
10,28,0
21,8,1
30,46,1
17,16,1
1,41,0
40,23,1
16,33,0
28,26,1
4,22,1
50,28,1
24,25,1
25,29,1
43,11,1
37,29,1
34,24,1
43,32,1
15,50,0
48,36,1
40,15,1
11,21,1
39,34,1
32,1,1
5,4,1
36,42,1
39,18,1
40,40,1
48,21,1
40,3,1
23,23,1
41,24,1
0,24,1
35,26,1
50,31,1
7,1,1
14,14,1
15,4,1
13,44,0
21,37,0
7,12,1
19,18,1
