age,sex,educ,race,married
62,0,1,5,0
69,0,12,5,1
55,1,1,5,1
35,0,1,4,1
53,1,2,2,1
4,1,2,3,0
65,0,5,1,0
6,0,9,2,1
10,0,13,0,0
11,1,9,5,1
2,0,3,0,1
23,1,0,4,0
12,0,8,0,0
9,1,5,4,0
30,1,0,2,0
11,1,4,1,0
29,0,5,2,0
54,0,4,2,1
19,1,1,4,1
6,0,15,2,1
28,1,9,2,1
16,0,1,2,1
57,1,8,1,1
1,0,14,3,0
36,1,2,4,1
8,0,2,3,1
38,1,14,1,0
31,0,14,5,1
5,0,9,1,1
11,0,4,3,1
28,1,10,5,1
34,0,0,2,1
18,1,13,1,1
12,0,6,5,1
51,1,5,2,0
25,0,6,2,1
30,0,8,2,0
27,1,8,0,1
40,1,0,1,1
48,0,0,4,0
22,0,7,0,1
12,1,3,1,0
29,0,10,5,0
20,1,5,2,0
27,0,7,5,0
42,1,4,1,1
17,1,11,5,0
69,0,10,1,1
20,1,15,0,0
56,0,0,1,1
2,0,14,0,0
8,1,11,5,0
54,1,14,4,1
30,1,0,5,1
10,1,9,1,1
25,1,9,5,1
22,0,1,5,1
23,1,0,0,1
31,1,6,1,1
47,0,8,2,0
4,1,12,3,1
18,1,5,3,1
54,1,8,0,0
34,1,15,5,1
23,1,9,3,0
19,1,1,1,1
2,0,13,2,0
69,0,10,3,1
12,0,5,0,1
23,1,6,5,0
29,1,9,5,1
0,0,7,0,1
60,1,15,2,0
5,1,13,3,0
22,1,3,0,1
26,0,15,3,1
53,0,1,4,0
55,0,10,3,1
1,1,0,3,1
26,0,1,0,0
21,1,15,1,1
44,0,10,1,0
53,1,8,2,0
4,0,0,1,1
44,0,4,3,1
34,0,5,4,1
66,0,0,3,1
28,1,5,3,0
18,1,0,0,0
8,1,3,1,1
32,0,11,3,0
50,1,2,5,0
66,0,14,1,0
24,1,5,2,1
35,0,4,4,1
19,1,0,1,0
17,1,11,3,0
19,0,9,5,1
45,0,9,4,1
23,0,4,0,1
47,0,0,2,1
5,1,7,3,1
23,1,15,3,1
46,1,15,1,1
11,1,12,5,1
21,0,4,1,1
23,0,11,2,1
53,1,1,3,0
7,1,0,3,0
22,1,15,5,1
7,0,15,0,1
48,0,7,1,1
2,1,4,2,0
54,0,8,0,0
31,1,1,3,1
11,0,15,2,1
30,0,1,3,0
50,0,0,3,0
38,0,1,1,1
47,0,12,4,1
4,0,1,2,1
24,0,7,1,1
63,0,7,0,0
72,1,5,0,0
12,0,5,3,0
36,0,6,0,0
12,0,10,0,1
4,1,14,2,1
22,1,8,4,0
33,0,7,1,1
53,0,3,3,0
63,1,13,4,1
41,0,12,4,1
51,0,11,3,0
27,0,8,3,1
5,0,13,1,0
1,0,11,5,0
28,1,1,0,0
67,0,7,3,0
10,0,6,5,1
24,0,12,1,0
42,0,9,4,1
11,0,6,5,0
42,0,3,3,1
10,0,11,4,1
27,0,7,4,1
9,1,11,2,0
12,1,5,1,1
32,0,3,5,0
12,0,14,1,0
56,0,6,3,0
5,0,5,4,0
35,0,5,3,0
19,0,2,1,1
19,1,15,1,1
24,0,2,4,1
23,1,0,4,0
25,0,3,3,1
22,1,0,1,0
1,1,6,2,0
19,1,11,0,1
8,0,15,2,0
21,1,10,0,1
15,0,1,5,1
38,0,5,1,1
33,1,7,5,0
31,1,15,5,1
4,0,5,2,0
8,1,3,0,1
0,1,12,0,1
24,0,15,4,0
61,0,12,1,0
19,1,9,4,0
54,0,5,2,1
53,0,13,3,0
33,1,10,0,0
4,0,10,5,0
12,0,3,0,1
44,0,10,0,0
22,1,10,0,0
15,0,15,5,1
5,1,2,1,0
47,1,8,4,0
33,0,2,3,1
13,1,13,0,1
23,0,7,0,1
60,0,8,1,0
25,1,2,0,0
37,0,7,3,0
0,1,3,3,0
43,0,6,1,1
33,0,4,1,0
17,1,0,4,0
72,1,5,4,1
24,0,9,1,0
15,1,13,1,1
16,0,3,2,0
30,0,8,1,0
54,1,14,0,0
29,0,12,5,0
12,0,15,3,1
40,1,15,4,0
41,0,14,3,0
30,0,3,0,1
66,1,5,1,0
30,0,0,5,0
5,1,7,0,1
54,0,6,1,0
27,1,7,2,1
52,1,6,4,1
47,0,10,3,0
60,0,1,1,0
23,1,3,0,1
34,0,8,5,0
17,0,10,4,1
59,1,2,4,1
51,1,13,4,0
53,1,2,0,0
24,1,9,2,1
11,0,14,1,1
24,0,12,5,0
52,0,9,4,1
0,1,1,0,1
21,1,6,2,0
10,1,12,5,0
10,1,13,2,0
30,0,3,1,1
56,1,5,5,0
8,0,11,3,0
63,0,8,0,0
22,1,6,1,1
24,1,0,2,0
6,0,8,2,0
24,0,12,0,0
20,1,14,3,0
31,0,8,1,1
6,1,4,4,1
23,1,2,5,0
17,1,3,5,1
22,1,14,4,0
42,0,2,2,1
13,0,15,0,0
7,1,0,0,1
31,0,10,1,1
32,0,7,3,1
19,0,4,5,1
36,0,9,0,0
21,0,12,2,0
5,0,5,3,1
45,0,11,2,0
62,0,13,0,1
64,0,14,2,0
24,1,9,1,0
26,0,1,4,1
16,0,4,2,0
15,1,5,4,1
3,0,11,5,1
16,0,11,0,0
1,1,15,2,1
15,1,7,3,1
7,0,13,2,1
26,0,15,3,1
22,0,6,1,1
62,1,10,2,0
5,1,6,2,1
19,1,5,3,1
3,0,3,4,0
37,0,0,3,1
13,1,9,2,0
32,0,15,1,0
29,1,1,4,0
20,0,0,1,0
11,1,4,5,0
33,1,1,0,0
27,1,7,1,0
13,0,0,4,1
54,1,7,1,1
2,1,0,4,1
33,0,7,5,0
34,0,6,2,1
5,1,5,2,0
22,1,2,3,1
7,0,5,3,1
32,1,6,2,0
36,0,7,5,0
6,1,7,1,1
24,0,2,3,1
22,1,2,0,1
16,0,4,5,1
1,1,0,3,1
16,0,2,2,1
65,1,13,5,1
36,0,13,3,1
5,1,11,1,0
16,1,13,1,1
55,1,13,1,0
6,1,10,2,1
13,1,1,5,0
33,0,8,4,1
38,0,0,3,1
20,1,14,0,1
19,1,2,0,0
5,0,4,4,1
32,1,2,3,0
13,0,11,1,0
57,0,6,4,1
16,1,11,3,1
29,0,11,2,1
10,0,0,3,0
42,0,11,5,0
23,0,14,3,1
39,1,15,3,1
38,1,15,0,0
13,1,5,2,1
2,0,15,5,0
