age,sex,educ,race,married
20,1,9,1,0
53,1,9,2,1
28,0,4,2,1
4,1,2,2,0
41,1,14,4,1
13,0,12,5,0
4,0,12,4,1
46,0,15,1,0
31,0,14,4,0
20,0,12,3,1
37,1,0,4,0
25,1,8,3,0
65,0,12,4,1
11,1,8,3,0
13,1,9,4,1
23,1,0,5,0
47,1,10,3,0
5,1,12,4,0
25,1,1,2,0
29,0,15,1,0
18,1,1,4,0
24,1,2,4,0
20,1,4,5,0
24,0,14,4,1
22,0,10,0,0
20,1,2,4,1
21,1,7,2,1
9,0,6,5,1
65,0,13,1,1
20,1,2,2,0
25,0,9,5,1
56,1,4,5,0
53,1,11,0,0
18,0,6,3,1
41,1,15,5,1
5,1,12,2,0
29,1,11,0,1
13,0,10,2,1
29,1,1,4,0
21,1,5,4,0
22,0,8,1,0
53,1,10,2,1
24,0,1,0,0
56,1,11,1,0
27,1,13,5,0
10,0,3,4,0
29,0,13,3,0
30,0,1,1,1
56,1,13,3,1
37,1,1,1,1
53,1,4,4,1
17,1,1,3,0
17,1,11,0,1
48,0,8,5,1
16,1,8,0,1
54,0,2,2,0
43,1,8,4,1
43,1,4,1,1
34,1,15,0,0
56,1,13,2,1
47,0,8,3,1
21,1,5,3,0
31,0,9,1,1
22,0,7,3,0
8,1,10,5,0
46,1,8,4,1
22,0,7,3,0
27,1,13,2,1
20,1,3,1,1
12,0,7,1,0
25,1,2,2,0
34,1,11,0,0
25,0,11,5,0
71,0,12,4,1
15,1,14,2,0
11,1,14,5,0
1,1,14,2,0
5,1,14,2,1
65,0,10,3,1
4,0,13,0,1
43,1,8,4,0
36,1,5,5,1
23,1,5,1,0
4,1,2,5,0
5,1,2,5,1
56,1,14,4,0
35,1,12,3,0
23,1,0,1,0
43,1,8,4,0
71,0,10,5,0
5,1,14,3,0
1,1,11,5,0
29,1,7,1,1
28,0,3,2,1
34,1,11,3,0
22,0,10,0,1
22,0,7,2,1
4,0,15,0,0
29,1,15,4,1
53,0,14,2,1
18,0,6,2,0
43,1,8,4,0
14,1,4,3,1
42,0,7,0,1
14,1,3,1,0
5,1,9,0,0
17,1,12,3,0
14,0,15,4,1
30,1,13,4,0
16,0,3,1,0
29,1,11,0,1
29,1,7,3,0
30,1,12,4,0
27,1,1,5,1
43,1,5,0,0
29,0,14,1,1
48,0,12,1,0
5,1,13,1,1
57,0,0,0,0
35,1,11,5,1
31,0,4,5,1
41,1,7,2,0
7,1,11,1,1
34,1,15,2,0
17,1,8,0,1
2,0,0,4,1
47,1,10,5,1
