fake_column_1,fake_column_2
75,50
62,89
61,20
20,51
46,95
76,44
65,12
11,36
11,21
46,51
92,88
81,40
19,19
1,63
50,6
73,93
11,100
73,61
83,64
29,98
72,96
11,69
14,36
9,25
20,28
72,87
61,76
17,70
31,79
23,19
71,84
82,78
47,92
75,14
75,43
94,62
27,51
71,33
74,67
56,61
43,3
27,34
31,63
63,31
83,57
89,85
17,44
47,81
15,26
10,40
83,53
14,20
26,61
41,63
76,43
18,70
25,84
5,97
76,80
21,15
91,58
61,3
76,61
85,19
94,38
100,25
89,61
26,66
45,22
94,15
75,70
71,81
40,38
71,4
79,22
60,82
63,73
25,97
60,2
90,23
4,21
51,13
39,37
85,28
62,89
81,29
5,40
82,20
74,10
63,52
76,77
70,50
39,36
65,95
62,46
77,41
50,47
3,91
55,89
82,10
25,93
31,92
28,37
65,95
49,93
49,70
69,40
91,21
41,86
22,29
50,90
69,88
50,39
33,53
98,53
19,50
14,56
13,51
81,21
80,1
86,5
6,84
81,19
29,25
13,35
3,4
19,44
75,64
53,62
21,13
95,75
88,6
97,48
8,53
18,76
80,75
67,82
61,52
28,62
50,13
6,80
32,97
15,21
61,4
27,26
84,54
52,50
22,39
10,66
29,17
70,9
82,40
30,54
78,53
38,4
38,32
51,32
20,31
18,99
57,48
99,96
56,40
69,62
8,2
29,50
94,16
21,96
41,81
53,20
77,10
37,84
24,73
65,31
38,39
21,61
72,15
74,66
40,87
96,27
22,20
83,82
82,24
76,9
2,13
25,87
35,69
92,18
81,64
92,97
24,80
75,56
87,97
88,16
96,60
63,32
29,11
26,32
8,55
78,34
65,12
9,82
64,92
92,76
97,9
24,4
40,29
35,100
6,70
19,7
98,17
72,33
32,61
34,45
19,18
96,47
89,23
22,35
57,51
61,33
10,37
7,39
28,13
76,45
19,66
56,4
89,73
8,85
77,32
16,37
23,0
34,63
96,7
48,28
12,61
13,1
39,90
46,44
84,15
31,1
26,29
83,98
47,52
47,29
77,45
8,43
30,57
44,8
76,19
5,73
80,80
71,10
24,0
89,53
95,11
97,80
31,82
63,19
2,28
45,85
9,75
81,6
4,63
17,53
39,97
49,6
26,70
58,91
22,40
36,74
38,89
90,54
87,65
65,67
9,88
49,68
92,21
33,76
42,5
7,11
47,84
58,83
48,36
56,63
33,6
36,59
92,93
18,91
12,6
14,16
99,92
61,94
7,13
99,47
36,94
13,71
38,50
14,57
19,7
65,11
49,65
77,44
75,99
10,55
57,50
71,39
54,63
55,87
54,53
83,79
52,96
86,23
29,66
62,10
27,45
85,58
86,61
86,41
81,61
28,33
63,67
22,80
46,3
43,69
47,28
95,47
5,5
89,97
54,89
31,67
69,74
64,86
51,32
66,92
99,28
68,73
90,72
46,27
16,28
10,42
31,25
83,31
57,51
75,0
51,35
16,17
96,50
67,62
5,41
1,44
25,63
97,90
42,5
84,31
28,38
44,10
16,49
58,100
24,43
96,65
96,68
57,38
61,72
87,75
64,53
82,32
1,69
94,26
55,19
26,38
21,67
44,80
100,90
56,27
21,67
59,36
9,85
32,24
3,3
21,14
53,85
79,93
98,76
2,44
9,27
31,9
7,9
26,16
89,49
27,47
68,52
49,5
19,26
86,51
22,35
67,92
37,73
63,67
53,55
60,88
0,60
8,77
74,82
4,84
79,67
31,98
61,94
30,54
34,34
16,47
30,83
24,15
59,11
11,29
77,7
4,88
37,86
61,13
26,35
43,94
19,91
87,12
99,86
91,15
55,83
94,79
87,41
19,2
36,51
25,18
27,93
84,84
0,58
87,62
76,61
14,88
96,31
23,11
3,53
54,10
35,16
45,81
39,29
38,18
43,16
32,71
38,7
89,24
55,57
51,95
3,4
2,32
74,15
71,89
41,80
87,14
81,66
23,15
8,74
88,60
84,19
94,84
52,94
51,59
74,95
8,40
91,10
61,95
47,96
24,0
85,32
15,37
78,86
14,2
84,19
90,64
87,96
33,87
72,33
28,42
43,30
20,17
6,87
21,55
99,66
63,1
48,94
10,65
28,44
34,3
53,90
75,12
5,23
11,73
2,38
5,36
25,37
16,34
4,61
92,74
77,10
14,39
40,50
19,92
46,57
94,0
71,68
11,29
10,65
92,22
33,50
25,52
7,44
14,29
87,47
62,66
83,33
4,59
82,95
68,15
81,85
84,90
62,10
31,57
15,14
56,24
19,22
96,100
36,54
80,21
92,10
62,62
35,57
47,60
7,51
58,53
59,32
66,71
31,43
48,75
35,59
56,74
66,15
80,35
36,13
91,59
94,58
56,24
49,62
98,3
49,67
56,86
76,13
3,76
51,59
20,21
18,23
43,67
13,100
52,89
86,47
79,62
6,92
26,68
15,93
74,26
33,51
41,40
50,53
46,24
51,76
34,70
82,52
99,46
35,30
21,11
0,56
30,99
5,31
37,23
64,77
41,91
21,20
57,70
26,23
60,80
68,23
70,79
100,76
81,34
91,3
69,65
61,89
20,43
19,38
49,38
85,11
68,95
96,49
42,27
90,36
42,81
24,58
37,18
34,66
63,24
70,7
66,44
88,94
89,72
20,21
67,76
0,78
29,49
80,61
61,69
82,18
54,66
93,67
49,0
37,24
74,5
27,71
86,82
99,55
50,8
62,11
19,52
60,80
59,35
81,64
75,79
46,19
73,55
37,71
48,54
53,21
62,58
78,59
53,95
87,57
95,51
47,55
22,12
90,75
25,29
20,24
1,40
83,42
34,86
100,87
32,9
66,98
60,13
74,64
100,86
26,25
55,40
22,47
45,30
70,26
34,88
35,43
76,76
82,53
90,84
10,97
33,91
57,61
82,38
72,43
14,72
40,49
91,56
53,86
31,75
12,62
1,89
5,58
82,62
58,53
29,93
46,7
50,23
47,90
75,37
51,6
72,48
74,45
37,93
47,25
48,20
53,39
33,16
65,30
3,63
6,89
89,11
77,21
8,34
74,77
79,19
55,28
15,1
99,45
10,9
19,13
78,81
9,79
45,1
50,37
5,94
38,100
5,90
94,46
16,35
96,15
83,7
32,31
72,6
91,10
74,53
91,27
69,48
23,32
19,38
89,54
38,95
30,48
14,0
84,67
40,57
38,29
60,85
23,16
53,9
43,40
44,74
87,59
46,64
19,38
38,5
94,47
4,57
94,95
84,8
41,84
60,40
8,27
37,17
45,45
99,89
80,78
61,95
88,40
36,13
31,79
93,86
60,50
4,40
86,37
55,16
13,55
30,66
51,98
46,79
16,76
27,97
36,23
57,74
9,65
23,99
99,93
16,57
3,21
77,30
89,40
34,20
41,47
46,29
64,2
58,59
12,23
25,40
29,68
46,100
70,51
81,35
0,59
80,70
70,24
44,6
83,84
14,38
14,78
55,77
76,65
8,24
61,32
17,58
16,2
65,64
68,43
6,69
11,58
20,34
66,8
96,38
21,36
78,31
26,25
20,10
90,38
57,60
96,100
91,11
5,74
95,55
76,56
51,20
81,40
47,90
76,95
55,15
28,78
97,74
12,12
98,7
55,69
0,87
2,36
15,81
44,75
19,3
88,60
0,42
15,17
24,89
34,10
84,7
9,80
64,18
6,96
57,18
34,38
60,84
8,38
36,82
94,87
53,47
31,81
30,61
100,80
47,37
22,11
59,61
74,70
3,40
7,32
14,76
79,56
24,59
8,5
36,99
31,37
99,6
8,96
29,81
48,59
97,28
91,24
23,4
47,11
41,18
15,39
42,15
83,17
57,99
35,26
25,72
77,19
71,63
30,87
96,85
89,65
57,52
27,53
24,66
16,36
24,19
9,100
29,4
38,28
18,43
79,92
94,54
38,64
43,98
53,59
84,36
58,93
50,13
42,43
29,2
82,35
90,37
29,25
39,34
63,87
77,8
86,93
39,71
95,57
69,32
7,34
6,88
29,77
29,11
29,5
68,3
86,47
71,41
74,37
15,56
9,81
98,61
100,26
88,14
3,47
88,0
77,15
29,12
95,51
78,41
37,17
34,22
66,82
26,6
56,54
21,41
13,5
94,0
0,25
84,100
24,32
17,34
87,38
52,5
91,8
86,98
18,86
74,99
20,37
33,3
32,37
97,21
99,28
91,39
28,72
88,94
21,13
55,60
82,34
65,8
26,49
62,35
22,55
70,94
5,10
74,49
88,51
51,0
16,20
14,89
49,96
32,95
19,37
48,99
31,34
13,87
32,81
29,60
30,89
42,61
46,91
32,55
81,31
10,99
64,58
89,17
90,73
10,43
74,76
28,32
22,69
61,77
63,92
46,65
74,91
92,41
78,11
2,57
4,81
81,38
8,4
31,65
95,85
96,2
64,38
45,12
88,41
39,12
86,28
78,44
61,13
48,79
34,8
77,70
93,28
78,18
82,9
85,50
59,80
20,12
96,88
57,41
24,33
92,17
71,13
39,3
50,39
75,71
21,62
2,66
3,97
41,38
43,27
86,73
99,96
33,79
52,6
44,47
68,44
64,83
75,58
21,61
16,84
44,58
58,34
65,80
10,55
27,11
46,31
74,40
15,72
84,11
100,15
10,51
72,93
2,81
49,34
55,22
12,80
40,8
28,6
55,82
44,81
79,79
86,14
42,4
65,39
95,70
18,74
85,90
50,52
21,39
34,6
77,55
5,1
4,3
8,3
95,22
66,21
82,26
27,47
21,34
87,77
14,50
95,83
54,71
19,38
71,55
24,35
39,68
81,84
89,71
83,28
49,86
86,74
94,94
46,84
79,6
77,37
63,9
77,49
52,36
99,0
67,46
65,15
43,84
0,11
77,54
83,82
22,88
75,37
59,91
53,93
83,53
77,95
26,27
2,79
34,89
50,41
39,82
88,16
24,32
40,31
20,85
23,4
94,13
53,47
19,5
44,73
22,93
20,95
27,78
47,85
81,60
52,17
39,36
57,88
26,73
40,78
76,45
61,12
70,4
18,65
21,90
61,49
14,38
37,11
91,4
24,24
82,67
35,21
94,69
42,89
98,13
29,22
67,74
6,94
69,76
28,38
48,37
87,61
31,8
56,80
39,3
63,57
60,64
83,8
76,66
80,37
93,40
57,77
75,59
48,30
86,15
29,14
46,25
62,36
83,43
48,90
66,85
81,65
97,64
14,34
77,61
44,72
34,92
31,100
78,88
40,61
71,27
84,60
72,92
6,15
50,10
38,2
4,29
34,13
32,16
63,28
60,34
10,79
7,9
44,75
22,58
83,40
15,75
22,84
62,11
62,41
54,75
56,34
96,13
67,60
71,33
75,3
9,42
45,1
68,46
58,62
62,2
79,83
32,24
15,17
26,38
8,46
99,77
95,0
40,38
76,67
31,10
78,75
59,80
83,23
88,35
30,60
35,22
44,77
29,39
89,21
54,24
39,10
11,26
34,23
79,77
42,24
11,87
2,8
95,58
32,63
67,30
82,62
9,77
53,39
26,71
84,33
44,69
19,80
44,88
24,46
83,43
73,34
71,49
43,32
46,26
51,25
12,60
9,40
84,28
36,44
43,86
25,90
59,100
72,71
57,42
59,16
36,53
29,56
80,62
15,28
21,41
62,12
1,61
37,56
7,64
58,7
14,43
10,29
81,23
17,65
47,82
47,25
17,44
46,73
52,91
35,16
99,13
31,82
63,74
11,2
63,59
91,91
20,6
23,41
51,5
19,25
26,7
32,13
47,75
14,93
28,43
39,59
100,40
73,54
44,21
63,24
49,89
68,90
68,4
57,35
69,1
87,81
75,61
14,8
17,13
81,30
54,57
28,81
36,21
29,70
73,16
40,20
68,62
80,83
15,2
82,29
3,100
99,55
27,84
52,19
88,47
32,95
8,71
85,91
45,33
49,52
65,90
16,55
6,98
12,2
70,46
38,85
4,46
47,47
54,41
4,48
78,43
8,49
36,70
85,51
89,92
51,94
92,30
47,86
97,83
57,82
49,93
31,2
42,2
76,98
100,23
41,64
54,0
91,65
7,92
97,46
100,37
11,41
29,45
14,62
60,9
44,44
58,100
14,73
41,25
76,73
25,12
32,71
95,85
58,12
18,30
78,84
90,73
16,60
99,19
97,30
29,13
20,82
82,0
85,73
55,88
81,44
11,75
87,98
12,50
11,92
84,70
82,49
79,65
55,88
86,88
90,36
97,6
9,12
24,84
62,27
31,73
15,9
74,59
29,8
72,55
33,0
77,48
28,5
44,14
71,5
19,100
51,46
64,40
92,49
29,12
83,13
61,56
90,43
37,56
89,26
7,81
4,80
0,31
97,24
63,32
23,91
31,92
45,77
13,76
70,12
23,53
49,95
3,20
37,62
29,43
90,43
25,55
61,38
54,84
10,11
62,45
53,52
67,92
49,90
30,21
71,54
80,75
8,4
82,19
91,20
37,64
56,86
16,51
63,14
54,78
62,49
55,14
24,44
77,77
63,53
41,36
85,66
72,100
22,81
8,30
24,47
55,35
57,0
82,66
59,92
99,23
68,72
35,85
43,65
38,66
55,54
85,25
87,6
49,98
9,71
90,24
39,97
52,64
97,52
17,97
34,17
12,93
44,45
4,0
50,100
1,0
16,4
51,58
31,43
94,3
96,7
28,65
38,70
77,26
0,48
17,15
82,94
16,98
67,11
24,7
98,43
84,40
35,30
88,62
99,12
86,63
78,62
25,16
99,32
47,5
22,87
85,85
5,50
10,3
0,4
12,88
91,100
23,4
47,81
76,84
73,14
57,91
65,68
16,52
36,3
2,57
68,96
15,38
97,25
15,59
32,54
34,95
96,40
31,36
83,52
79,63
88,61
54,72
5,36
43,96
58,99
71,81
20,66
0,21
95,56
35,43
11,24
59,57
46,51
62,95
25,63
56,96
5,4
38,80
4,41
79,95
61,68
11,71
14,51
55,42
36,39
82,1
79,92
60,17
37,47
76,54
42,38
25,32
32,4
72,74
8,97
92,66
22,81
46,83
16,6
42,61
19,94
3,94
22,35
25,95
100,80
56,95
74,74
64,57
24,30
88,52
76,60
63,51
58,48
65,0
90,28
30,76
67,35
70,81
13,22
71,10
100,10
28,93
97,69
96,72
35,84
11,14
54,95
52,63
47,58
20,43
91,24
80,62
49,17
49,5
21,51
52,64
74,100
12,66
60,78
60,58
15,9
6,39
11,46
88,24
19,97
37,93
18,35
31,63
50,67
61,18
91,49
12,94
18,97
70,20
59,51
94,74
88,95
94,47
100,41
60,89
3,40
5,94
34,30
98,26
16,32
13,10
56,64
41,52
11,68
23,76
72,57
68,81
69,23
43,32
89,9
8,85
30,25
90,14
88,36
57,31
20,19
81,74
44,70
52,1
84,36
6,33
92,48
65,36
19,39
31,77
44,75
54,15
94,43
66,71
89,100
85,77
89,45
15,17
56,53
66,18
57,10
38,9
99,43
44,91
80,100
41,70
63,99
68,48
68,29
66,36
11,53
51,63
21,68
3,46
1,40
84,37
26,82
89,8
52,49
21,2
45,79
35,92
92,11
83,95
81,29
23,90
6,12
25,27
10,52
99,10
48,45
7,82
8,83
59,57
69,26
64,27
100,73
0,69
12,24
73,69
29,77
45,34
38,36
79,74
43,17
39,12
23,70
91,21
89,70
38,92
27,29
37,100
97,1
22,50
23,87
56,90
10,97
31,88
28,88
67,98
30,60
14,93
39,70
93,94
17,87
10,17
0,2
81,3
19,29
91,86
80,17
49,74
67,58
48,35
3,3
2,69
98,29
69,28
91,2
67,55
34,64
90,79
2,42
31,69
54,48
36,73
85,59
56,11
84,48
42,65
57,48
37,78
29,48
25,46
7,40
2,32
1,27
99,17
28,77
3,79
5,41
78,75
43,41
24,81
9,88
2,82
99,85
55,92
29,42
46,25
71,20
20,27
35,69
10,95
38,4
38,65
83,37
66,85
4,16
34,47
97,60
54,87
39,51
47,88
39,70
60,26
34,41
26,80
40,46
39,2
93,19
57,69
11,63
41,39
64,34
85,8
57,71
5,93
26,81
71,57
61,59
76,70
50,56
96,18
54,79
44,67
33,57
89,86
85,58
42,49
2,55
91,76
86,6
78,24
81,72
63,9
95,62
36,45
35,36
26,83
59,91
33,9
47,46
91,63
10,45
43,85
98,18
87,93
61,78
4,51
73,62
46,67
36,45
72,42
77,60
83,6
52,14
53,93
48,24
35,21
87,56
95,53
8,18
50,2
27,34
90,84
13,96
62,9
68,58
30,61
64,15
59,7
12,85
89,26
41,75
98,10
63,4
83,61
11,73
35,23
39,49
7,42
42,76
92,11
56,83
69,76
76,7
70,40
40,38
77,50
81,33
50,30
88,30
15,49
76,90
15,74
100,41
94,12
45,13
84,76
6,93
97,32
8,92
12,74
4,1
44,51
96,42
65,56
27,42
67,67
50,98
18,1
80,33
36,37
46,75
10,60
38,26
43,79
43,93
68,87
61,36
23,36
10,85
77,6
58,22
37,75
46,35
69,96
49,97
74,60
53,39
63,30
21,31
16,20
59,31
52,80
70,8
68,29
62,9
89,77
47,59
60,27
38,38
89,33
55,33
21,67
85,75
21,91
7,7
88,61
33,17
90,57
17,75
37,96
36,41
62,1
56,44
58,55
32,80
35,23
10,89
26,53
6,86
94,1
24,27
18,97
32,11
68,63
31,43
36,27
73,3
0,33
52,95
15,71
25,80
72,4
91,47
8,86
45,33
44,70
98,81
69,6
60,92
27,94
72,12
51,73
99,94
98,20
45,53
36,60
67,55
14,14
2,56
76,90
82,70
19,3
77,26
67,13
18,83
58,97
33,4
20,43
68,20
96,16
30,43
82,81
78,78
78,22
58,48
75,78
85,11
18,77
85,19
28,90
44,50
67,1
77,74
19,25
59,38
47,16
14,14
41,68
90,93
39,42
55,7
14,95
55,74
80,72
18,46
82,10
48,15
44,35
15,13
100,78
75,27
81,33
64,7
73,71
67,61
35,70
79,44
16,24
2,80
83,64
16,88
57,20
94,5
58,32
38,99
38,69
37,33
9,96
89,90
100,21
36,2
77,17
75,6
61,77
18,64
45,30
10,56
52,69
0,42
22,11
44,100
0,35
89,69
83,12
28,30
61,72
20,3
100,36
87,16
42,75
86,91
88,36
53,27
2,39
9,92
27,39
32,85
77,10
99,30
46,73
23,2
58,50
10,85
77,49
90,77
31,97
8,94
13,76
74,30
44,16
78,3
90,57
85,39
77,97
68,36
80,94
50,7
55,43
22,77
47,4
30,5
100,18
57,100
25,14
61,38
69,77
48,76
78,25
74,95
26,94
89,8
99,34
38,55
7,31
50,75
88,99
42,2
46,9
88,88
83,55
21,87
20,65
58,5
51,15
95,86
39,42
10,0
51,93
83,43
22,10
78,70
84,4
7,46
63,91
35,41
70,30
45,80
12,23
2,19
4,39
83,60
46,3
69,6
73,15
100,66
83,6
34,31
35,16
45,42
12,41
95,60
52,7
47,26
36,16
33,38
51,60
75,36
60,21
31,85
69,50
42,36
27,51
45,73
24,27
14,66
19,96
92,80
53,57
87,85
28,83
36,54
0,27
69,74
49,57
12,7
7,57
7,56
44,61
20,94
77,32
37,68
57,79
97,11
82,22
81,80
84,21
29,84
14,10
49,32
80,14
79,74
94,73
7,46
12,31
38,1
70,19
10,1
58,63
86,44
14,32
37,46
52,12
48,51
81,80
62,75
