fake_column_1,fake_column_2
2,2
5,9
7,10
9,10
2,9
7,10
9,1
4,7
8,7
8,7
9,10
2,0
8,6
4,4
5,6
4,1
0,1
1,9
1,8
0,2
10,5
10,8
4,9
2,1
6,7
1,1
8,5
6,9
3,6
1,3
6,3
5,6
10,6
3,6
1,3
0,1
5,5
6,3
10,3
9,0
3,8
7,3
0,3
1,6
7,9
2,6
8,5
8,2
7,5
5,10
3,3
0,10
2,7
4,5
1,4
0,3
3,5
6,6
4,0
2,1
0,7
4,10
5,8
5,1
3,8
6,1
9,3
2,7
1,8
6,3
3,0
0,1
9,5
5,6
8,3
8,1
0,2
1,4
5,5
9,0
6,6
1,1
8,3
1,7
0,7
0,7
7,4
10,2
5,4
3,9
8,10
9,10
10,8
8,10
10,8
9,8
9,10
8,9
10,9
10,8
