fake_column_1,fake_column_2,fake_column_3
64,27,99
89,83,19
81,15,85
16,63,45
23,19,53
41,78,5
45,64,45
22,24,13
38,52,35
5,71,87
24,0,27
99,81,81
36,45,75
55,3,48
57,48,74
88,15,71
25,57,22
84,9,83
95,72,50
73,38,37
100,39,95
38,48,38
90,73,6
17,53,98
44,76,33
39,39,98
38,38,59
19,0,53
53,29,77
27,83,29
15,54,28
67,12,82
47,75,50
16,48,74
24,25,98
83,43,18
3,92,66
73,27,55
71,3,19
74,84,58
34,95,86
46,0,49
90,99,57
0,7,96
60,42,43
29,45,51
51,40,23
47,66,30
12,43,29
95,18,51
57,50,100
99,13,12
18,94,88
18,14,39
49,24,50
9,98,87
74,20,76
63,56,68
58,22,70
86,43,7
93,97,38
70,1,63
97,78,87
25,29,32
48,79,11
26,69,1
59,96,36
89,47,30
35,82,42
85,45,71
83,18,12
69,66,96
57,82,25
4,83,43
26,62,20
0,61,37
90,7,24
49,47,87
86,23,62
94,59,4
76,38,13
24,89,81
4,12,93
76,45,21
60,68,43
80,57,79
70,41,55
1,4,71
93,31,79
21,95,84
15,53,51
43,29,68
2,52,33
100,80,1
75,86,5
1,69,45
78,94,12
73,47,11
17,86,88
20,1,46
21,77,22
80,18,65
8,26,64
57,66,8
33,42,90
49,76,83
62,64,11
87,24,77
66,70,46
16,1,48
3,45,3
63,0,67
82,2,56
65,79,26
27,27,63
7,40,41
38,7,80
69,39,45
28,34,17
32,77,82
72,88,30
95,84,64
51,83,73
78,78,37
63,85,67
70,49,51
73,59,57
43,12,76
96,67,29
35,41,44
90,74,39
72,85,9
17,69,35
50,43,98
37,1,86
88,60,29
67,40,43
63,81,72
74,7,21
69,3,58
6,28,92
5,47,93
36,60,29
29,3,19
25,57,60
57,76,79
2,76,45
5,58,25
3,47,28
48,74,28
29,21,26
100,84,96
5,48,74
8,7,14
100,53,3
73,93,45
31,22,69
69,54,16
40,0,36
79,56,88
87,44,65
8,100,63
66,94,3
80,89,53
78,11,43
45,76,43
34,19,5
79,34,28
40,25,22
6,31,2
46,15,80
2,35,80
19,13,49
98,9,66
34,50,61
85,73,50
97,2,54
76,99,60
8,55,33
49,46,1
21,27,19
60,87,11
72,67,9
28,20,73
86,12,86
30,69,46
24,86,54
89,77,89
61,78,17
57,22,4
3,78,40
29,48,95
79,37,0
30,13,16
5,88,30
38,12,81
11,100,60
38,59,72
74,30,15
29,83,24
50,57,51
77,87,68
95,49,94
16,20,70
40,82,3
61,46,14
11,10,79
15,37,64
21,72,22
26,73,26
83,78,82
100,43,27
35,94,88
75,70,13
47,69,87
99,35,14
100,21,50
86,61,73
81,28,94
42,60,77
96,75,26
85,51,9
61,1,38
96,54,53
60,73,82
16,91,85
5,46,69
51,8,36
78,14,87
89,30,80
88,81,52
45,42,69
73,77,5
44,34,23
70,12,35
81,36,93
24,86,16
57,67,97
93,33,90
13,38,6
54,2,45
49,14,41
61,68,74
79,66,96
59,67,31
10,30,96
84,0,5
57,81,75
75,13,9
19,12,84
9,62,48
13,65,48
56,17,53
2,28,66
88,51,2
72,27,70
44,62,47
68,39,33
33,84,13
95,55,51
41,84,69
48,87,65
88,78,71
42,19,75
83,58,88
71,25,77
37,55,15
96,16,66
68,69,25
78,29,26
90,75,52
6,45,12
82,89,18
40,88,94
96,92,12
96,82,84
24,100,94
77,17,13
20,43,72
53,66,81
84,59,62
56,94,31
57,64,37
5,63,17
82,9,11
60,39,70
99,91,77
70,77,77
63,15,66
34,21,34
45,26,36
86,93,51
88,49,3
7,80,80
92,0,53
19,82,49
7,25,59
18,99,0
46,2,44
14,87,85
82,53,90
97,97,1
48,30,82
39,82,80
24,93,72
47,93,76
29,44,44
68,71,84
47,14,41
62,56,54
78,76,61
63,73,0
18,82,12
60,57,31
74,30,76
6,87,10
52,21,82
87,22,94
41,39,39
18,44,78
51,78,74
74,88,28
50,99,44
4,98,53
8,3,52
89,10,54
100,38,70
97,77,49
29,31,72
50,81,69
0,93,33
85,9,55
77,78,2
57,88,42
5,49,5
96,89,34
4,24,73
24,87,100
57,0,50
24,60,69
93,54,87
48,98,47
85,37,74
83,64,4
53,74,93
48,64,82
5,37,42
8,64,13
9,39,41
94,79,42
4,0,71
44,18,79
3,7,85
57,40,47
0,21,97
67,14,9
7,61,39
80,53,40
41,15,73
98,25,18
36,87,13
15,36,76
83,27,35
71,97,88
23,50,37
15,81,5
44,74,51
42,41,56
83,17,96
55,46,69
100,86,0
14,67,24
23,69,24
55,61,41
32,66,28
53,17,77
85,45,46
13,33,3
31,42,9
0,14,14
76,19,85
25,94,85
89,28,91
51,68,31
86,94,22
48,87,31
23,52,95
17,13,43
87,76,94
56,3,39
60,73,81
20,94,18
11,83,14
61,9,95
83,19,71
21,7,98
23,32,21
88,96,34
31,13,42
44,89,12
47,16,16
53,34,77
83,13,38
31,90,91
32,61,35
98,66,65
78,32,29
26,36,54
86,18,78
4,92,11
66,33,52
45,34,0
42,95,34
38,13,15
0,3,44
16,50,82
56,1,88
96,12,40
84,72,62
69,44,90
53,37,73
96,5,36
39,54,61
68,76,87
14,13,34
97,69,88
42,67,60
43,22,98
17,63,63
11,19,63
7,66,6
72,5,66
97,56,20
7,52,18
47,38,66
82,71,99
43,24,88
73,48,42
30,41,44
80,85,84
22,54,78
52,37,2
7,61,15
12,96,60
70,31,21
48,31,71
1,10,53
47,36,22
45,39,64
43,46,52
55,13,10
48,54,36
6,46,21
7,95,28
34,16,87
8,63,72
17,8,22
76,26,72
52,8,89
94,7,31
88,94,7
5,32,56
21,23,18
90,51,31
74,59,48
99,4,78
86,39,93
14,0,10
1,50,92
66,89,8
78,75,86
86,1,94
68,59,85
54,15,73
14,96,88
88,69,75
7,74,94
36,28,33
99,51,65
67,61,58
87,60,15
88,44,2
81,6,61
90,8,82
97,83,33
94,59,33
85,59,66
51,55,82
8,3,64
80,39,32
68,38,73
78,8,85
29,41,98
62,68,88
72,9,63
35,22,94
89,14,20
97,44,52
81,8,47
57,85,21
40,12,52
0,92,35
100,95,79
1,23,55
85,7,39
91,61,87
26,4,17
40,55,69
93,86,59
20,49,76
84,20,65
27,21,82
17,10,46
85,22,44
23,66,51
25,89,81
56,73,44
71,79,94
59,29,80
13,5,34
50,64,75
89,86,44
11,12,6
69,40,46
66,11,91
12,50,55
53,16,8
85,32,47
65,48,8
67,61,63
65,39,11
94,13,46
27,37,85
6,25,46
0,35,1
84,52,6
72,50,87
80,67,73
26,71,88
83,24,80
80,98,22
42,36,47
8,83,43
87,50,81
31,79,79
25,52,30
28,35,36
29,37,35
39,40,14
11,58,59
58,52,51
6,85,66
19,87,22
15,67,84
26,88,46
24,83,98
74,90,34
3,84,91
94,8,86
67,12,12
8,85,42
93,83,79
32,43,6
48,98,10
30,20,5
67,5,44
73,26,1
99,15,93
34,22,31
38,82,45
74,34,34
85,9,87
12,11,80
14,13,2
57,81,62
33,84,12
29,34,60
19,23,66
94,28,82
52,2,22
83,24,45
59,67,31
57,51,9
70,10,7
31,68,2
