fake_column_1,fake_column_2,fake_column_3
0,2,5
10,0,5
10,0,9
2,3,3
3,8,6
5,9,9
2,8,8
0,4,9
4,4,0
6,3,4
10,7,7
4,5,5
4,5,8
8,5,4
0,1,0
7,3,6
8,1,1
9,6,0
10,3,4
4,2,1
3,8,1
7,1,8
6,1,10
8,4,1
1,10,6
3,2,3
0,0,5
5,2,8
9,8,7
5,1,9
6,2,5
4,2,1
0,10,6
8,4,0
3,6,9
1,0,5
7,8,8
3,8,1
1,4,4
3,10,8
6,9,0
9,3,1
8,5,1
7,3,7
7,1,8
6,2,9
10,6,8
8,0,6
6,1,9
9,1,5
8,3,5
5,10,8
9,4,9
6,10,3
5,3,1
10,4,5
9,9,9
5,9,4
10,10,0
9,4,7
4,5,0
0,10,4
3,7,10
8,4,3
4,2,10
2,4,4
2,2,10
3,5,9
8,5,1
0,2,1
0,2,8
4,0,6
7,0,3
6,0,9
4,8,8
9,3,5
8,0,0
6,2,8
7,0,10
1,3,5
8,4,7
3,10,8
7,5,5
4,9,4
7,7,10
6,9,3
6,2,5
7,0,10
1,10,2
9,9,3
9,9,10
9,9,8
9,8,10
9,10,8
10,8,8
10,9,8
9,8,10
8,8,10
10,10,10
9,9,8
